ID;Fecha_Nacim;Edad;Educacion;Estado_Civil;Ingreso_Anual;Niños;Adolescente;Fecha_ingreso;Dias_Ulti_Comp;Gastos_Vinos;Gastos_Frutas;Gastos_Carne;Gastos_Pescados;Gastos_Dulces;Gastos_Joyas;Cant_Ofertas;Cant_Comp_Web;Cant_catalogo_comp;Cant_Com_Almacen;Num_Visitas_Web
17;1956;66;Universitario;Divorciado;22304;Sin hijos;0;4/8/2012;91;3;2;7;0;4;2;1;1;0;2;8
18;1978;44;Secundario;Pareja;27683;Un hijo;0;4/8/2012;90;152;9;121;12;12;45;4;6;2;4;8
19;1968;54;Secundario;Casado;36778;Un hijo;1;5/8/2012;63;29;4;34;2;4;4;3;3;0;3;9
20;1950;72;Universitario;Pareja;27203;Un hijo;1;6/8/2012;92;13;2;21;4;0;24;2;1;1;2;8
21;1969;53;Universitario;Viudo;43638;Sin hijos;1;6/8/2012;37;63;10;83;7;19;19;2;4;1;4;7
22;1966;56;Master;Divorciado;29435;Un hijo;1;6/8/2012;11;70;3;37;4;2;64;4;3;2;2;9
23;1953;69;Secundario;Pareja;53593;Un hijo;1;7/8/2012;60;349;4;78;6;0;43;8;7;2;6;8
24;1967;55;Secundario;Casado;36947;Un hijo;1;7/8/2012;49;88;3;21;4;1;29;4;3;0;4;9
25;1977;45;Universitario;Soltero;23763;Un hijo;0;7/8/2012;64;22;0;6;6;2;6;1;1;0;3;7
26;1958;64;Universitario;Soltero;68281;Sin hijos;0;7/8/2012;31;995;112;417;42;48;41;1;2;9;13;5
27;1982;40;Universitario;Casado;37040;Sin hijos;0;8/8/2012;41;86;2;73;69;38;48;1;4;2;5;8
28;1976;46;Primario;Divorciado;9548;Un hijo;0;8/8/2012;31;0;1;3;10;6;9;2;1;0;3;8
29;1972;50;Secundario;Casado;79930;Sin hijos;0;8/8/2012;72;792;86;740;67;51;17;1;3;5;8;2
30;1966;56;Universitario;Soltero;86358;Un hijo;1;8/8/2012;78;957;47;494;82;47;95;4;5;3;6;8
31;1963;59;Secundario;Pareja;33629;Un hijo;1;8/8/2012;49;132;0;16;0;0;4;5;3;1;4;9
32;1982;40;Universitario;Soltero;39660;Un hijo;0;8/8/2012;36;139;13;78;20;13;36;3;7;1;3;9
33;1980;42;Master;Divorciado;78789;Sin hijos;0;8/8/2012;12;667;50;850;21;83;83;1;4;6;5;2
34;1969;53;Universitario;Pareja;62882;Sin hijos;1;9/8/2012;26;509;133;497;78;24;97;2;7;5;6;4
35;1983;39;Universitario;Pareja;78687;Sin hijos;0;9/8/2012;13;817;185;687;145;55;241;1;4;6;8;2
36;1988;34;Universitario;Soltero;68655;Sin hijos;0;10/8/2012;95;456;19;832;75;118;38;1;4;5;11;3
37;1988;34;Universitario;Soltero;68655;Sin hijos;0;10/8/2012;95;456;19;832;75;118;38;1;4;5;11;3
38;1964;58;Master;Casado;79143;Sin hijos;0;11/8/2012;2;650;37;780;27;167;32;1;6;9;13;3
39;1972;50;Secundario;Pareja;62220;Sin hijos;1;11/8/2012;55;799;12;375;16;12;12;5;7;6;5;6
40;1980;42;Universitario;Casado;61014;Sin hijos;1;11/8/2012;17;269;129;495;182;43;29;4;9;3;4;7
41;1964;58;Universitario;Soltero;61839;Sin hijos;0;12/8/2012;20;1000;155;379;224;17;120;1;4;8;4;8
42;1974;48;Universitario;Casado;67445;Sin hijos;1;12/8/2012;63;757;80;217;29;80;11;5;9;6;12;6
43;1951;71;Secundario;Soltero;64950;Sin hijos;1;12/8/2012;29;819;0;72;12;0;63;2;11;2;10;7
44;1974;48;Universitario;Casado;67445;Sin hijos;1;12/8/2012;63;757;80;217;29;80;11;5;9;6;12;6
45;1974;48;Universitario;Casado;67445;Sin hijos;1;12/8/2012;63;757;80;217;29;80;11;5;9;6;12;6
46;1978;44;Primario;Pareja;67445;Sin hijos;0;12/8/2012;53;32;2;1607;12;4;22;0;0;0;1;0
47;1957;65;Universitario;Soltero;36864;Sin hijos;1;13/8/2012;53;204;5;39;17;0;89;3;5;2;4;8
48;1976;46;Secundario;Pareja;72335;Sin hijos;0;13/8/2012;2;1285;105;653;28;21;0;1;10;4;8;8
49;1985;37;Universitario;Soltero;66503;Un hijo;0;14/8/2012;30;91;64;128;65;3;50;2;4;3;6;3
50;1980;42;Primario;Casado;16005;Un hijo;0;14/8/2012;69;1;3;2;20;30;47;3;2;1;2;8
51;1971;51;Secundario;Pareja;49269;Un hijo;0;15/8/2012;92;639;8;166;11;8;58;3;7;3;12;7
52;1969;53;Secundario;Pareja;53374;Sin hijos;1;16/8/2012;34;896;10;101;13;10;34;6;4;2;9;9
53;1965;57;Universitario;Pareja;52117;Sin hijos;1;16/8/2012;55;112;10;107;30;0;20;2;5;2;4;7
54;1959;63;Master;Viudo;33051;Sin hijos;0;16/8/2012;15;100;71;243;108;94;219;3;9;1;8;9
55;1958;64;Universitario;Casado;61074;Sin hijos;1;17/8/2012;37;789;0;133;0;28;152;7;11;5;8;7
56;1981;41;Universitario;Pareja;31089;Un hijo;0;17/8/2012;57;31;3;31;2;8;4;3;3;0;4;8
57;1960;62;Master;Casado;30522;Sin hijos;1;17/8/2012;6;179;8;83;19;11;26;5;1;2;9;2
58;1952;70;Universitario;Soltero;53700;Sin hijos;1;17/8/2012;94;263;5;233;69;41;83;4;5;5;8;5
59;1977;45;Universitario;Casado;42014;Un hijo;0;17/8/2012;56;244;15;108;4;15;50;6;7;1;6;8
60;1977;45;Universitario;Casado;42014;Un hijo;0;17/8/2012;56;244;15;108;4;15;50;6;7;1;6;8
61;1970;52;Universitario;Soltero;76467;Un hijo;0;17/8/2012;44;676;161;426;210;44;58;2;2;5;5;6
62;1986;36;Universitario;Soltero;26816;Sin hijos;0;17/8/2012;50;5;1;6;3;4;3;1;0;0;3;4
63;1975;47;Master;Soltero;46098;Un hijo;1;18/8/2012;86;57;0;27;0;0;36;4;3;2;2;8
64;1971;51;Primario;Divorciado;49118;Sin hijos;0;18/8/2012;90;620;54;239;99;98;119;2;9;7;10;7
65;1978;44;Master;Casado;88097;Un hijo;0;18/8/2012;24;163;0;480;0;126;75;1;6;5;8;9
66;1975;47;Master;Soltero;46098;Un hijo;1;18/8/2012;86;57;0;27;0;0;36;4;3;2;2;8
67;1975;47;Master;Soltero;46098;Un hijo;1;18/8/2012;86;57;0;27;0;0;36;4;3;2;2;8
68;1974;48;Universitario;Soltero;32233;Un hijo;0;19/8/2012;26;138;15;35;25;11;72;2;6;2;2;9
69;1952;70;Master;Pareja;40442;Un hijo;1;19/8/2012;52;45;12;52;25;22;13;4;3;1;4;7
70;1972;50;Universitario;Casado;38988;Un hijo;2;20/8/2012;90;164;24;103;12;3;42;7;5;1;6;8
71;1955;67;Secundario;Soltero;49667;Sin hijos;0;20/8/2012;35;1181;26;120;17;13;39;2;5;10;5;8
72;1961;61;Universitario;Soltero;82014;Sin hijos;0;20/8/2012;48;980;37;265;35;163;31;1;3;6;12;6
73;1969;53;Universitario;Soltero;54803;Sin hijos;1;21/8/2012;65;404;0;92;28;27;142;2;6;2;9;4
74;1970;52;Master;Soltero;44802;Sin hijos;0;21/8/2012;71;853;10;143;13;10;20;2;9;4;12;8
75;1973;49;Primario;Casado;35688;Dos hijos;1;22/8/2012;94;73;3;90;12;1;32;7;4;1;4;8
76;1973;49;Primario;Casado;35688;Dos hijos;1;22/8/2012;94;73;3;90;12;1;32;7;4;1;4;8
77;1987;35;Universitario;Soltero;46923;Un hijo;0;22/8/2012;90;85;44;54;102;78;6;3;5;1;7;7
78;1956;66;Universitario;Casado;79456;Sin hijos;0;22/8/2012;12;565;42;548;64;83;99;1;5;6;4;3
79;1994;28;Universitario;Pareja;80685;Sin hijos;0;22/8/2012;55;241;45;604;34;26;54;1;6;4;10;2
80;1968;54;Universitario;Pareja;35322;Un hijo;2;22/8/2012;34;28;9;37;12;7;13;3;2;0;4;8
81;1986;36;Primario;Soltero;8940;Un hijo;0;22/8/2012;25;1;45;3;4;6;42;3;3;1;3;8
82;1967;55;Universitario;Casado;77870;Sin hijos;1;22/8/2012;93;1017;50;500;65;50;133;3;5;5;5;8
83;1952;70;Master;Pareja;55951;Sin hijos;1;23/8/2012;62;1241;0;80;0;13;40;3;3;6;11;8
84;1985;37;Secundario;Casado;64355;Un hijo;0;24/8/2012;66;1047;0;140;67;38;153;2;4;3;12;8
85;1968;54;Universitario;Soltero;57107;Sin hijos;1;24/8/2012;44;159;0;120;0;0;137;7;4;4;8;8
86;1979;43;Universitario;Pareja;77568;Sin hijos;1;25/8/2012;30;1230;0;396;232;178;158;1;10;2;8;5
87;1961;61;Universitario;Casado;60544;Un hijo;1;25/8/2012;92;201;2;43;3;5;35;4;5;1;5;6
88;1961;61;Universitario;Casado;60544;Un hijo;1;25/8/2012;92;201;2;43;3;5;35;4;5;1;5;6
89;1990;32;Secundario;Casado;74214;Sin hijos;0;26/8/2012;3;863;83;547;86;99;33;1;8;2;5;5
90;1972;50;Universitario;Soltero;38808;Un hijo;0;26/8/2012;21;125;17;52;3;19;30;4;5;1;4;8
91;1973;49;Universitario;Casado;27803;Un hijo;0;26/8/2012;40;8;26;46;38;9;49;2;3;0;4;8
92;1972;50;Master;Casado;75251;Sin hijos;0;27/8/2012;34;721;111;925;97;18;18;1;7;6;5;5
93;1985;37;Universitario;Pareja;29103;Un hijo;0;27/8/2012;38;16;0;17;6;3;6;2;1;0;3;9
94;1981;41;Primario;Soltero;24336;Un hijo;0;27/8/2012;82;1;6;2;8;2;12;1;1;0;2;7
95;1965;57;Secundario;Pareja;32727;Sin hijos;0;28/8/2012;38;167;13;180;86;13;70;2;7;3;5;8
96;1979;43;Primario;Pareja;60839;Un hijo;1;28/8/2012;72;600;21;128;223;150;128;13;2;2;12;8
97;1985;37;Universitario;Soltero;29760;Un hijo;0;29/8/2012;87;64;4;68;7;5;17;4;3;1;4;8
98;1967;55;Universitario;Pareja;75702;Un hijo;1;29/8/2012;77;650;28;353;45;42;30;5;4;6;11;8
99;1980;42;Universitario;Soltero;28071;Sin hijos;0;29/8/2012;65;39;33;130;41;26;44;2;5;1;5;8
100;1974;48;Universitario;Casado;42557;Sin hijos;1;29/8/2012;98;192;5;53;0;5;15;4;6;1;4;8
101;1964;58;Universitario;Pareja;68142;Sin hijos;1;29/8/2012;96;897;126;196;91;112;37;3;10;4;7;6
102;1979;43;Universitario;Casado;7500;Sin hijos;1;29/8/2012;61;5;2;3;3;0;5;1;1;0;2;8
103;1985;37;Universitario;Soltero;29760;Un hijo;0;29/8/2012;87;64;4;68;7;5;17;4;3;1;4;8
104;1975;47;Universitario;Casado;79205;Sin hijos;0;29/8/2012;73;504;23;117;179;28;44;1;6;5;4;4
105;1949;73;Universitario;Pareja;38823;Sin hijos;1;30/8/2012;56;70;0;11;2;8;23;1;2;1;3;6
106;1972;50;Secundario;Soltero;27213;Un hijo;0;30/8/2012;19;19;3;26;10;9;3;3;2;0;4;8
107;1967;55;Universitario;Divorciado;68743;Sin hijos;0;30/8/2012;81;1132;134;384;175;134;115;1;11;5;13;7
108;1980;42;Universitario;Casado;43586;Sin hijos;1;30/8/2012;26;99;2;11;4;0;16;3;3;0;4;8
109;1946;76;Universitario;Pareja;37760;Sin hijos;0;31/8/2012;20;84;5;38;150;12;28;2;4;1;6;7
110;1988;34;Secundario;Casado;67546;Sin hijos;0;31/8/2012;90;864;134;768;150;38;172;1;4;10;5;3
111;1946;76;Universitario;Pareja;37760;Sin hijos;0;31/8/2012;20;84;5;38;150;12;28;2;4;1;6;7
112;1984;38;Universitario;Pareja;15345;Un hijo;0;31/8/2012;51;5;2;16;3;2;19;2;1;1;2;8
113;1960;62;Universitario;Pareja;62807;Sin hijos;1;31/8/2012;83;526;28;135;10;21;99;3;5;3;12;5
114;1979;43;Master;Pareja;24401;Sin hijos;0;31/8/2012;98;73;28;217;10;24;115;3;6;1;6;8
115;1981;41;Master;Pareja;42021;Un hijo;0;31/8/2012;34;393;5;136;7;5;27;5;10;1;6;9
116;1960;62;Universitario;Pareja;62807;Sin hijos;1;31/8/2012;83;526;28;135;10;21;99;3;5;3;12;5
117;1964;58;Universitario;Divorciado;51983;Sin hijos;1;31/8/2012;95;631;0;115;10;7;30;3;9;2;10;7
118;1988;34;Primario;Pareja;13724;Un hijo;0;31/8/2012;43;2;7;5;2;15;27;1;2;0;2;9
119;1976;46;Universitario;Casado;61064;Sin hijos;1;31/8/2012;80;387;126;342;0;45;180;5;8;4;11;6
120;1988;34;Secundario;Casado;67546;Sin hijos;0;31/8/2012;90;864;134;768;150;38;172;1;4;10;5;3
121;1969;53;Secundario;Casado;94871;Sin hijos;2;1/9/2012;99;169;24;553;188;0;144;1;8;5;4;7
122;1956;66;Universitario;Casado;63943;Sin hijos;1;2/9/2012;50;423;184;368;13;97;21;1;6;4;6;5
123;1977;45;Universitario;Soltero;37774;Dos hijos;0;3/9/2012;28;173;8;107;7;2;176;4;7;2;3;9
124;1958;64;Universitario;Pareja;37774;Un hijo;1;3/9/2012;87;19;4;12;2;2;6;1;1;0;3;5
125;1979;43;Universitario;Pareja;21645;Un hijo;0;3/9/2012;75;14;0;23;4;5;19;3;3;0;3;9
126;1965;57;Secundario;Pareja;65220;Sin hijos;0;3/9/2012;3;890;63;292;0;25;12;4;8;4;7;6
127;1957;65;Universitario;Soltero;58138;Sin hijos;0;4/9/2012;58;635;88;546;172;88;88;3;8;10;4;7
128;1958;64;Master;Soltero;75154;Sin hijos;1;4/9/2012;79;543;10;205;160;143;82;1;6;3;6;3
129;1988;34;Primario;Casado;23331;Un hijo;0;4/9/2012;92;5;36;7;0;10;45;2;3;0;3;8
130;1978;44;Primario;Pareja;52513;Sin hijos;0;4/9/2012;84;367;17;241;104;188;232;2;9;5;9;7
131;1987;35;Universitario;Pareja;67430;Sin hijos;0;5/9/2012;6;595;97;291;127;133;121;1;11;5;12;6
132;1977;45;Secundario;Divorciado;34487;Un hijo;1;6/9/2012;94;19;18;33;24;1;8;3;3;0;3;9
133;1953;69;Secundario;Divorciado;36957;Un hijo;1;6/9/2012;43;100;2;16;2;1;31;4;3;2;2;9
134;1975;47;Primario;Pareja;34984;Un hijo;1;6/9/2012;40;8;4;15;3;5;3;2;1;0;3;7
135;1970;52;Universitario;Casado;22979;Un hijo;0;6/9/2012;29;16;17;19;20;21;22;3;3;2;2;8
136;1975;47;Universitario;Pareja;66653;Un hijo;1;7/9/2012;18;452;18;102;16;18;6;4;4;2;12;3
137;1976;46;Universitario;Casado;65991;Sin hijos;1;7/9/2012;21;507;19;364;25;47;9;3;9;5;10;7
138;1980;42;Primario;Casado;25965;Sin hijos;0;7/9/2012;29;2;2;11;41;7;11;1;2;0;3;8
139;1963;59;Universitario;Viudo;34213;Un hijo;1;7/9/2012;2;50;4;28;6;3;26;3;3;1;2;9
140;1949;73;Master;Pareja;49912;Sin hijos;1;7/9/2012;5;520;8;223;32;49;42;4;10;5;7;8
141;1949;73;Master;Pareja;49912;Sin hijos;1;7/9/2012;5;520;8;223;32;49;42;4;10;5;7;8
142;1962;60;Universitario;Divorciado;63887;Sin hijos;1;8/9/2012;38;897;23;207;15;11;92;5;9;6;12;6
143;1987;35;Universitario;Casado;25545;Un hijo;0;8/9/2012;35;32;1;64;16;12;85;3;2;2;3;6
144;1976;46;Universitario;Divorciado;40780;Sin hijos;1;8/9/2012;30;229;27;71;13;3;34;4;7;1;5;9
145;1965;57;Master;Viudo;51390;Un hijo;1;8/9/2012;54;205;20;47;23;2;56;6;5;2;5;5
146;1950;72;Universitario;Casado;57045;Sin hijos;1;8/9/2012;40;296;13;104;11;13;17;3;4;2;9;3
147;1971;51;Secundario;Viudo;47111;Sin hijos;1;8/9/2012;35;595;71;153;120;112;41;6;3;2;10;9
148;1978;44;Primario;Pareja;24882;Un hijo;0;9/9/2012;52;1;4;10;29;0;36;1;1;1;2;6
149;1961;61;Primario;Viudo;59184;Sin hijos;1;9/9/2012;6;341;142;113;259;151;66;3;6;6;12;5
150;1978;44;Primario;Pareja;24882;Un hijo;0;9/9/2012;52;1;4;10;29;0;36;1;1;1;2;6
151;1954;68;Universitario;Divorciado;64497;Sin hijos;1;10/9/2012;17;1170;48;320;42;32;192;5;11;4;9;8
152;1992;30;Universitario;Soltero;48789;Sin hijos;0;10/9/2012;94;351;16;156;7;5;145;1;6;4;7;6
153;1956;66;Secundario;Viudo;78028;Sin hijos;1;10/9/2012;38;158;19;288;25;0;38;1;6;4;9;7
154;1968;54;Master;Pareja;34053;Sin hijos;1;10/9/2012;14;63;0;21;7;0;12;1;3;0;3;8
155;1954;68;Master;Casado;66991;Sin hijos;0;11/9/2012;1;496;36;460;189;60;12;3;4;8;6;3
156;1977;45;Universitario;Casado;74985;Sin hijos;0;11/9/2012;8;587;51;898;247;0;86;1;3;6;7;2
157;1971;51;Universitario;Casado;37150;Un hijo;0;11/9/2012;80;167;37;64;49;34;116;8;4;3;6;7
158;1975;47;Secundario;Casado;80427;Sin hijos;1;12/9/2012;56;1149;71;449;69;71;26;1;11;8;8;5
159;1960;62;Universitario;Divorciado;62204;Sin hijos;2;12/9/2012;38;317;46;247;151;46;139;1;4;5;12;3
160;1952;70;Universitario;Pareja;43462;Un hijo;1;12/9/2012;50;90;17;97;15;6;15;6;4;1;5;8
161;1974;48;Universitario;Casado;44989;Sin hijos;1;12/9/2012;26;98;0;106;49;10;106;5;5;1;5;6
162;1970;52;Universitario;Viudo;66731;Sin hijos;1;12/9/2012;33;371;159;194;58;106;141;4;4;3;6;3
163;1972;50;Secundario;Soltero;86857;Sin hijos;0;12/9/2012;96;899;102;838;133;102;40;1;5;6;10;2
164;1972;50;Secundario;Soltero;86857;Sin hijos;0;12/9/2012;96;899;102;838;133;102;40;1;5;6;10;2
165;1961;61;Universitario;Casado;16860;Un hijo;1;12/9/2012;19;10;4;4;3;3;14;3;1;1;3;7
166;1974;48;Universitario;Casado;44989;Sin hijos;1;12/9/2012;26;98;0;106;49;10;106;5;5;1;5;6
167;1975;47;Secundario;Casado;86836;Sin hijos;0;12/9/2012;7;179;21;273;0;21;63;1;6;10;6;5
168;1976;46;Master;Pareja;37509;Un hijo;0;12/9/2012;24;37;5;56;12;8;5;2;3;0;4;7
169;1973;49;Primario;Casado;37509;Un hijo;0;14/9/2012;25;25;3;43;17;4;17;3;3;0;3;8
170;1964;58;Secundario;Divorciado;78825;Sin hijos;0;14/9/2012;35;483;74;114;169;37;18;1;5;10;13;3
171;1956;66;Universitario;Pareja;54450;Un hijo;1;14/9/2012;0;454;0;171;8;19;32;12;9;2;8;8
172;1956;66;Universitario;Pareja;54450;Un hijo;1;14/9/2012;0;454;0;171;8;19;32;12;9;2;8;8
173;1974;48;Secundario;Casado;38410;Sin hijos;0;14/9/2012;65;153;64;123;116;64;14;2;5;2;9;6
174;1976;46;Master;Casado;34529;Un hijo;0;14/9/2012;94;68;6;38;3;6;41;2;2;2;3;7
175;1971;51;Universitario;Casado;43824;Un hijo;1;15/9/2012;18;96;1;42;12;3;32;4;3;1;4;8
176;1966;56;Primario;Soltero;89572;Sin hijos;0;15/9/2012;44;606;24;974;197;194;64;1;7;7;9;4
177;1984;38;Primario;Casado;14796;Un hijo;0;17/9/2012;1;13;3;8;7;4;16;2;1;0;3;9
178;1961;61;Universitario;Soltero;82332;Sin hijos;0;17/9/2012;89;830;59;968;51;79;19;1;5;3;12;2
179;1972;50;Universitario;Casado;69209;Sin hijos;0;17/9/2012;4;496;32;849;229;48;128;2;5;3;6;4
180;1966;56;Universitario;Viudo;27038;Sin hijos;0;18/9/2012;64;1;26;25;17;23;15;1;3;0;3;9
181;1991;31;Universitario;Soltero;8028;Sin hijos;0;18/9/2012;62;73;18;66;7;12;2;15;0;1;0;19
182;1974;48;Secundario;Divorciado;25509;Un hijo;0;18/9/2012;15;40;3;30;10;7;11;3;3;0;3;9
183;1995;27;Primario;Soltero;83257;Sin hijos;0;18/9/2012;56;536;27;590;38;107;67;1;5;10;12;6
184;1985;37;Universitario;Pareja;54006;Un hijo;0;18/9/2012;42;174;77;203;6;24;97;2;8;1;7;7
185;1974;48;Secundario;Divorciado;25509;Un hijo;0;18/9/2012;15;40;3;30;10;7;11;3;3;0;3;9
186;1971;51;Primario;Pareja;42033;Un hijo;1;19/9/2012;95;11;1;4;2;0;7;1;1;0;2;7
187;1957;65;Secundario;Casado;37633;Un hijo;1;20/9/2012;49;13;4;20;0;0;1;2;1;0;3;9
188;1956;66;Master;Pareja;58656;Sin hijos;1;20/9/2012;25;962;12;194;16;24;12;4;7;8;13;6
189;1960;62;Universitario;Pareja;70971;Sin hijos;1;21/9/2012;28;1001;17;572;93;125;17;7;11;11;5;7
190;1967;55;Universitario;Divorciado;70647;Sin hijos;1;21/9/2012;65;561;85;171;25;123;114;2;4;7;13;2
191;1978;44;Universitario;Divorciado;71847;Sin hijos;0;21/9/2012;95;737;21;106;55;63;210;0;6;7;9;3
192;1973;49;Universitario;Casado;49094;Sin hijos;1;21/9/2012;6;376;0;38;11;8;69;5;6;3;6;6
193;1958;64;Primario;Pareja;26490;Sin hijos;0;22/9/2012;92;45;47;52;21;20;25;2;3;1;5;6
194;1953;69;Universitario;Soltero;69267;Sin hijos;0;22/9/2012;31;778;44;499;95;73;146;2;3;4;5;7
195;1958;64;Primario;Pareja;26490;Sin hijos;0;22/9/2012;92;45;47;52;21;20;25;2;3;1;5;6
196;1974;48;Universitario;Pareja;83145;Sin hijos;0;22/9/2012;14;777;35;731;39;137;114;1;5;9;11;2
197;1957;65;Secundario;Divorciado;41437;Un hijo;1;22/9/2012;5;29;0;2;0;0;1;1;1;0;3;7
198;1954;68;Secundario;Divorciado;57333;Sin hijos;1;22/9/2012;55;941;14;397;76;58;176;11;8;5;9;6
199;1955;67;Universitario;Viudo;79800;Sin hijos;0;23/9/2012;65;1060;21;530;32;0;224;1;5;11;5;3
200;1960;62;Primario;Divorciado;87305;Sin hijos;0;23/9/2012;19;345;25;501;63;138;80;1;5;3;8;2
201;1980;42;Universitario;Divorciado;81702;Sin hijos;0;23/9/2012;98;563;50;774;28;31;187;1;7;7;12;3
202;1958;64;Secundario;Pareja;78952;Sin hijos;1;24/9/2012;11;1170;19;594;99;76;134;2;2;5;12;6
203;1963;59;Secundario;Casado;53378;Un hijo;1;24/9/2012;41;489;6;152;8;6;132;10;9;4;6;8
204;1982;40;Primario;Pareja;66664;Sin hijos;0;25/9/2012;78;398;96;447;220;96;32;1;5;7;6;3
205;1982;40;Primario;Pareja;66664;Sin hijos;0;25/9/2012;78;398;96;447;220;96;32;1;5;7;6;3
206;1972;50;Universitario;Pareja;30261;Un hijo;2;25/9/2012;75;8;0;5;0;3;6;1;0;0;3;8
207;1970;52;Universitario;Soltero;83273;Un hijo;2;25/9/2012;98;433;89;650;16;102;102;10;4;6;9;7
208;1968;54;Universitario;Pareja;58554;Un hijo;1;26/9/2012;55;368;24;68;38;0;88;6;8;2;6;7
209;1956;66;Master;Casado;90226;Sin hijos;0;26/9/2012;26;1083;108;649;253;151;108;1;4;7;12;2
210;1968;54;Universitario;Pareja;58554;Un hijo;1;26/9/2012;55;368;24;68;38;0;88;6;8;2;6;7
211;1965;57;Universitario;Pareja;75276;Sin hijos;0;27/9/2012;2;610;105;125;137;42;21;1;9;4;9;5
212;1950;72;Secundario;Casado;55517;Un hijo;1;27/9/2012;53;483;0;108;0;6;36;5;11;1;6;9
213;1957;65;Universitario;Casado;78618;Sin hijos;0;28/9/2012;87;736;163;818;212;163;61;1;4;7;10;2
214;1950;72;Master;Divorciado;63120;Sin hijos;1;28/9/2012;53;965;69;279;54;41;69;5;8;4;9;7
215;1977;45;Secundario;Casado;69389;Sin hijos;1;28/9/2012;17;422;7;238;69;46;15;1;7;2;12;4
216;1971;51;Universitario;Casado;76445;Un hijo;0;28/9/2012;2;739;107;309;140;80;35;1;2;5;13;6
217;1991;31;Primario;Soltero;61618;Sin hijos;0;29/9/2012;27;605;91;399;0;45;205;2;3;6;8;3
218;1976;46;Master;Casado;81929;Un hijo;0;29/9/2012;60;1486;55;278;49;0;185;2;4;4;10;6
219;1953;69;Universitario;Casado;70503;Sin hijos;0;30/9/2012;73;1379;33;216;0;33;66;1;2;4;9;6
220;1987;35;Secundario;Casado;51563;Sin hijos;0;1/10/2012;60;1166;0;48;0;0;36;1;4;4;10;8
221;1975;47;Primario;Divorciado;67893;Sin hijos;1;1/10/2012;31;711;28;142;49;18;47;2;3;2;9;8
222;1949;73;Master;Casado;62845;Un hijo;1;1/10/2012;3;1099;0;45;0;0;34;11;3;4;10;8
223;1949;73;Master;Casado;62845;Un hijo;1;1/10/2012;3;1099;0;45;0;0;34;11;3;4;10;8
224;1971;51;Master;Pareja;30538;Un hijo;0;1/10/2012;27;284;0;52;8;3;20;4;9;0;4;10
225;1973;49;Primario;Pareja;9722;Un hijo;0;2/10/2012;7;6;17;16;6;16;42;4;3;1;3;8
226;1960;62;Secundario;Divorciado;50611;Sin hijos;1;4/10/2012;98;459;0;24;6;0;4;6;4;5;7;6
227;1966;56;Universitario;Pareja;37758;Un hijo;1;4/10/2012;49;27;2;10;0;0;1;2;1;0;3;8
228;1989;33;Primario;Pareja;38683;Un hijo;0;4/10/2012;80;46;35;69;84;41;66;6;4;1;6;7
229;1960;62;Secundario;Divorciado;50611;Sin hijos;1;4/10/2012;98;459;0;24;6;0;4;6;4;5;7;6
230;1966;56;Universitario;Pareja;37758;Un hijo;1;4/10/2012;49;27;2;10;0;0;1;2;1;0;3;8
